description,title,url,price,retailer_sku_code,instock,current_price,promo_data
"Produce of Japan <br/> 
Dole Apple Flavour Konjac Jelly <br/> 
日本Dole果冻 （苹果口味）<br/> 
<small><span style= ""color: gray""> Net weight: 132g (22g x 6 sachets) </span></small><br/> <br/> 

<small><b
style=""color:orange"">Dole Konjac Jelly </b> is a fruity and tasty jelly made from well-selected konjac flour. It is rich in dietary fibre, which provides a host of health benefits to the digestive system.  <small>",Dole Konjac Apple Flavour Jelly 6x22G,https://a4ucontent.blob.core.windows.net/images/0052022_0.png,1.99,127054,,1.99,
"3M Command<br/> 
Medium Wire Hook (Holds Up to 1.3kg)  2S",3M Command Med Wire Hook 2S 17068,https://a4ucontent.blob.core.windows.net/images/0044227_0.png,5.2,108506,,5.2,
"EESIN <br/>
Blue Gel Pen <br/>
<span style= ""color: gray""> 4S </span>",Eesin R1 Gel Pen 4S 4R1,https://a4ucontent.blob.core.windows.net/images/0044618_0.png,3.2,10863,,3.2,
"K-Y Jelly Lubricant <br/>
<span style=""color: grey;"">100G</span>",K-Y Jelly Lubricant 100G,https://a4ucontent.blob.core.windows.net/images/0051690_0.png,5.6,121371,,5.6,
Gas Lighter CS-2128 JP031 <br/>,Gas Lighter CS-2128 JP031,https://a4ucontent.blob.core.windows.net/images/0052744_0.png,3.9,112423,,3.9,
"Prevail <br/>
Extra Absorb(s) Adult <br/>
<span style=""color:gray""> 20-30"" (51-86cm) </span>","Prevail Ex ABSORB(S)ADULT20-30""(51-86CM)",https://a4ucontent.blob.core.windows.net/images/0042502_0.png,21.8,120918,,21.8,
"Pureen  <br/>
Feeding Bottle <br/>
Bottle colour depend on availability <br/> 
<span style= ""color: gray""> 8OZ </span>",Pureen Feeding Bottle 8OZ BFBF04,https://a4ucontent.blob.core.windows.net/images/0043501_0.png,3.05,86602,,3.05,
"Emmi <br/>
Blueberry Yoghurt <br/>
<span style= ""color: gray""> 100G </span>",Emmi Yoghurt Blueberry 100G,https://a4ucontent.blob.core.windows.net/images/0048254_0.png,1.1,84816,,1.1,3 for $2.50
"Khong Guan <br/>
Curry Chicken Tapioca Slice <br/>
<span style= ""color: gray"">2KG</span>",E-Curry Ckn Tapioca Slice 2KG (W/Tin),https://a4ucontent.blob.core.windows.net/images/0014195_0.png,22.85,118349,,22.85,
"Vegetable Cracker<br/>
<span style=""color: grey;"">400G</span>",Vegetable Cracker 400G,https://a4ucontent.blob.core.windows.net/images/0052643_0.png,1.45,15941,,1.45,
"Cap Orang Tua <br/>
Tou Cheong <br/>
<span style =""color:grey""> 400g </span>",Cap Orang Tua Tou Cheong 400G,https://a4ucontent.blob.core.windows.net/images/0003607_0.png,2.55,40859,,2.55,
"Young Sun<br/>
Frozen Soy Bean<br/><span style=""font-family: SimSun, SimHei, Serif;"">冷冻茶豆</span>",Young Sun Frozen Chamame 400G,https://a4ucontent.blob.core.windows.net/images/0050881_0.png,2.8,119753,,2.8,
"Fruit King <br/>
Longan In Syrup <br/>
<span style= ""color: gray""> 565 G </span>",Fruit King Longan IN Syrup 565G,https://a4ucontent.blob.core.windows.net/images/0047158_0.png,1.8,1923,,1.8,
"Sapporito <br/>
Spaghetti <br/>
<span style=""color:grey;"">500 g</span>",Saporito Spaghetti 500G,https://a4ucontent.blob.core.windows.net/images/0048719_0.png,1.9,79340,,1.9,2 for $3.40
"Bhd Buja<br/>
Makkoli Grape Korea Wine (ALC 9%)<br/>
<span style=""color: grey;"">375ML</span>",Bhd Buja Makkoli Grape 9% 375ML,https://a4ucontent.blob.core.windows.net/images/0051404_0.png,12.0,119933,,12.0,
"Fresh Roasted Duck (Whole) <br/> 
新鲜烤鸭(只) <br/> 
<small><span style= ""color: gray""> 2.2-2.4KG </span></small>",Roast Duck (Whole)(2.2-2.4KG),https://a4ucontent.blob.core.windows.net/images/0052223_0.png,20.8,127402,,20.8,
"Nature Valley <br/>
Apple Crisps Granola Bar <br/>
<span style= ""color: gray"">252G</span>",N/Valley Granola Bar Apple Crips 252G,https://a4ucontent.blob.core.windows.net/images/0045128_0.png,5.85,58236,,5.85,2 for $7.80
"Huiji Honey <br/>
<span style =""color:grey""> 1KG </span>",Huiji Honey 1KG,https://a4ucontent.blob.core.windows.net/images/0052023_0.png,9.95,1535,,9.95,2 for $16.95
"Sweet Home Farm <br/>
Honey Nut Almond Granola <br/>
<span style= ""color: gray"">682G</span>",SHF Granola H/Nut With Alm 682G,https://a4ucontent.blob.core.windows.net/images/0051989_0.png,7.8,57297,,7.8,
"Nestlé Milo<br/>
2-In-1 Calcium Enriched<br/>
<span style= ""color: gray"">12 x 30 g</span>",Nestle Milo 2N1 Cal Enriched 12SX30G,https://a4ucontent.blob.core.windows.net/images/0045131_0.png,7.3,120192,,7.3,
"Mission<br/>
Wraps Original<br/>
<span style= ""color: gray"">8S(360G)</span>",Mission Wraps Original 8S(360G),https://a4ucontent.blob.core.windows.net/images/0019991_0.png,5.4,59196,,5.4,
"Emborg<br/>
Whipping Cream<br/>
<span style= ""color: gray"">200ml</span>",Emborg Whipping Cream 200ML,https://a4ucontent.blob.core.windows.net/images/0003446_0.png,3.4,2099,,3.4,2 for $5.90
"Milkmaid<br/>
Full Cream<br/>
Sweetened Condensed Milk<br/>
<span style=""color:grey;"">392 g</span>",Milkmaid FC SCM 392G,https://a4ucontent.blob.core.windows.net/images/0004762_0.png,1.7,114367,,1.7,2 for $3.25
"Cowhead<br/>
Grated Natural Cheddar Cheese<br/>
<span style= ""color: gray"">250g</span>",Cowhead Grated Nat.Cheddar Cheese 250G,https://a4ucontent.blob.core.windows.net/images/0003525_0.png,4.95,86020,,4.95,
"Nutella <br/> 
<small><span style= ""color: gray""> 825G </span></small>",Nutella 825G,https://a4ucontent.blob.core.windows.net/images/0052415_0.png,9.9,126588,,9.9,
"IXL <br/>
Marmalade Breakfast Jam <br/>
<span style =""color:grey""> 500g </span>",IXL Marmalade Breakfast 500G(S),https://a4ucontent.blob.core.windows.net/images/0052660_0.png,4.95,56952,,4.95,
"Cowhead<br/>
Butter<br/>
<span style= ""color: gray"">250g</span>",Cowhead Butter 250G,https://a4ucontent.blob.core.windows.net/images/0003411_0.png,3.25,2066,,3.25,
"Fresh Eggs<br/>
<span style=""color: grey;"">10s</span>",Fresh Eggs 10S,https://a4ucontent.blob.core.windows.net/images/0042774_0.png,1.6,117519,,1.6,
"Meiji Paigen<br/>
Culture Milk (0% Fat)<br/>
<span style=""color: grey;"">160ML</span>",Meiji Paigen Culture Milk 160ML,https://a4ucontent.blob.core.windows.net/images/0051633_0.png,1.2,85862,,1.2,4 for $2.95
"Ma La Gao (马拉糕)<br/>
Steam Cake<br/>
<span style=""color: grey;"">285 g</span>",Steam Cake (Malagao) 258G,https://a4ucontent.blob.core.windows.net/images/0049753_0.png,1.9,14031,,1.9,
Top Baker Bun Chocolate 6S(270G),Top Baker Bun Choc 6S(270G),https://a4ucontent.blob.core.windows.net/images/0046968_0.png,1.1,58797,,1.1,
"<b><font size=""4"">HIGH 5</font></b>
<br><b>California Raisin Bread</b>
<br>
<br><b><span style=""color: grey;"">Net Weight: 400 g</span></b>",High 5 California Raisin Bread 400G,https://a4ucontent.blob.core.windows.net/images/0047411_0.png,2.7,124323,,2.7,
